police_station,location,violations
Adugodi,"Srinivagilu Main Road, Patel Narayana Reddy Layout, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",25
Adugodi,"Hosur Road, ML Colony, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",23
Adugodi,"60 Feet Road, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",22
Adugodi,"Hosur Road, Maha Ligeshwara Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",22
Adugodi,"Hosur Road, Vaishnavi Silicon Terraces, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",21
Adugodi,"Srinivagilu Main Road, MM Garden, Block 6, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",21
Adugodi,"Srinivagilu Main Road, Prestige Pine Wood, Jakkasandra Extension, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",21
Adugodi,"60 Feet Road, Kottalapalya, Bengaluru, Karnataka. Pin-560095 (India)",19
Adugodi,"Domlur Inner Ring Road, Sony World Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",19
Adugodi,"3rd A Cross Road, Block 6, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",18
Adugodi,"Bannerghatta Main Road, Mythreyi Naimisha, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",18
Adugodi,"1st Cross Road, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",16
Adugodi,"Srinivagilu Main Road, KR Garden, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",16
Adugodi,"7th Cross Road, Raheja Residency, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",15
Adugodi,"Hosur Road, HM Vibha Towers, Chikka Lakshmaiah Layout, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",15
Adugodi,"17th Main Road, Madiwala Check Post Junction, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",14
Adugodi,"1st A Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",14
Adugodi,"Hosur Road, Pothlappa Garden, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",14
Adugodi,"Srinivagilu Main Road, Tungabhadra Block, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",14
Adugodi,"Zostel Koramangala, 749, 80 Feet Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",14
Adugodi,"Hosur Road, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",13
Adugodi,"20th Main Road, Godavari Block, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",12
Adugodi,"1st Main Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",11
Adugodi,"4th C Cross Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",11
Adugodi,"80 Feet Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",11
Adugodi,"Contours Women's Fitness Studio Kormangala, 126, 1st A Cross Road, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",11
Adugodi,"Srinivagilu Main Road, Rajendra Nagar, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",11
Adugodi,"7th Cross Road, Block 4B, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",10
Adugodi,"80 Feet Road, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",10
Adugodi,"1st Cross Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",9
Adugodi,"4th A Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",9
Adugodi,"Hosur Road, Dairy Circle, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",9
Adugodi,"Sarjapur Marathahalli Road, Krupanidhi College Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",9
Adugodi,"Srinivagilu Main Road, Green Leaf Layout, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",9
Adugodi,"17th Main Road, Salarpuria Tower, Adugodi, Bengaluru, Karnataka. Pin-560095 (India)",8
Adugodi,"1st A Main Road, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",8
Adugodi,"1st B Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",8
Adugodi,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",8
Adugodi,"1st Cross Road, St Johns National Academy of Health Sciences, John Nagar, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",8
Adugodi,"4th Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",8
Adugodi,"Hosur Road, Madiwala Check Post Junction, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",8
Adugodi,"Hosur Road, Nexus Koramangala, Adugodi, Bengaluru, Karnataka. Pin-560095 (India)",8
Adugodi,"17th A Main Road, Kottalapalya, Bengaluru, Karnataka. Pin-560095 (India)",7
Adugodi,"2nd Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",7
Adugodi,"4th B Cross Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",7
Adugodi,"7th A Main Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",7
Adugodi,"Domlur Inner Ring Road, BDA Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",7
Adugodi,"7th B Main Road, SBI Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",6
Adugodi,"Bosch Road, Robert Bosch, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",6
Adugodi,"Domlur Inner Ring Road, Block 4B, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",6
Adugodi,"Hosur Road, Adugodi Junction, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",6
Adugodi,"Hosur Road, CC Layout, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",6
Adugodi,"Hosur Road, Nanjappa Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",6
Adugodi,"Sarjapur Marathahalli Road, Sarjapur Road Check Post Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",6
Adugodi,"16th B Main Road, Block 4B, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",5
Adugodi,"1st A Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",5
Adugodi,"1st Cross Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",5
Adugodi,"1st Main Road, Pothlappa Garden, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",5
Adugodi,"4th B Cross Road, Industrial Layout, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",5
Adugodi,"7th A Main Road, SBI Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",5
Adugodi,"Sarjapur Marathahalli Road, Jakkasandra, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",5
Adugodi,"Srinivagilu Main Road, Block 4C, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",5
Adugodi,"17th G Main Road, Tungabhadra Block, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",4
Adugodi,"2nd A Cross Road, SBI Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",4
Adugodi,"60 Feet Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",4
Adugodi,"7th Cross Road, BDA Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",4
Adugodi,"7th Cross Road, Block 3J, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",4
Adugodi,"BTS Main Road, Wilson Vintage, Shamanna Garden, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",4
Adugodi,"Bunny Bar, 749, 80 Feet Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",4
Adugodi,"Domlur Inner Ring Road, Kottalapalya, Bengaluru, Karnataka. Pin-560095 (India)",4
Adugodi,"Hosur Road, Salarpuria Tower, Adugodi, Bengaluru, Karnataka. Pin-560095 (India)",4
Adugodi,"Hosur Road, Wilson Manor Apartment, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",4
Adugodi,"New Mico Road, Adugodi Junction, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",4
Adugodi,"Srinivagilu Main Road, Godavari Block, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",4
Adugodi,"17th C Main Road, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3
Adugodi,"17th Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3
Adugodi,"1st A Cross Road, Koramangala 7th Block, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",3
Adugodi,"1st Cross Road, Krishna Nagar Industrial Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",3
Adugodi,"1st Cross Road, Netravati Enclave, Adugodi Police Quarters, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",3
Adugodi,"1st Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3
Adugodi,"2nd Cross Road, SBI Colony, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",3
Adugodi,"2nd Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3
Adugodi,"2nd Main Road, KR Garden, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3
Adugodi,"6th Cross Road, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3
Adugodi,"7th Main Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",3
Adugodi,"Bannerghatta Main Road, Gupta Layout, Lakkasandra, Bengaluru, Karnataka. Pin-560030 (India)",3
Adugodi,"Bannerghatta Main Road, Pukhraj Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",3
Adugodi,"Bannerghatta Road, Eramma Layout, Adugodi, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560030, India",3
Adugodi,"Hosur Road, Industrial Layout, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3
Adugodi,"Hosur Road, Krishna Nagar Industrial Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",3
Adugodi,"McDonald's, 1st A Cross Road, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",3
Adugodi,"Sarjapur Marathahalli Road, Janatha Colony Jakasandra, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",3
Adugodi,"Srinivagilu Main Road, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",3
Adugodi,"Srinivagilu Main Road, KPWD Quarters, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",3
Adugodi,"Srinivagilu Main Road, Nanjappa Reddy Layout, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3
Adugodi,"11th Main Road, Kudremukh Colony, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",2
Adugodi,"16th B Main Road, Mestripalya, Block 4B, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",2
Adugodi,"17th F Main Road, MM Garden, Block 6, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",2
Adugodi,"1st Main Road, Jakkasandra, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",2
Adugodi,"2nd Main Road, Pothlappa Garden, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",2
Adugodi,"4th C Cross Road, Salarpuria Tower, Adugodi, Bengaluru, Karnataka. Pin-560095 (India)",2
Adugodi,"6th B Cross Road, KR Garden, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",2
Adugodi,"6th C Main Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",2
Adugodi,"6th Main Road, Eramma Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",2
Adugodi,"7th Cross Road, MLA Layout, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",2
Adugodi,"7th Cross Road, Palm Springs Apartments, Block 4B, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",2
Adugodi,"7th Main Road, Eramma Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",2
Adugodi,"80 Feet Road, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",2
Adugodi,"80 Feet Road, Koramangala 1st Block, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",2
Adugodi,"Asha Plaza, 607, 80 Feet Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",2
Adugodi,"Bannerghatta Main Road, Eramma Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",2
Adugodi,"Dairy Circle Flyover Underpass, SR Nagar, Lakkasandra, Bengaluru, Karnataka. Pin-560030 (India)",2
Adugodi,"Hosur Road, Bren Optimus, Dairy Colony, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",2
Adugodi,"Hosur Road, Dairy Colony, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",2
Adugodi,"Hosur Road, Lakkasandra, Bengaluru, Karnataka. Pin-560030 (India)",2
Adugodi,"Hosur Road, National Institute of Animal Nutrition and Physiology, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",2
Adugodi,"Indian Coffee House, 55, Jyoti Nivas College Road, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",2
Adugodi,"Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",2
Adugodi,"NGV 7th Cross Road, Godavari Block, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",2
Adugodi,"Srinivagilu Main Road, Dr Ambedkar Nagar, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",2
Adugodi,"Xoox Brewmill, 8, 80 Feet Road, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",2
Adugodi,"1, 7th C Cross Road, Maistripalaya, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",1
Adugodi,"10th Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"11th Main Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"12th Main Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"15th Main Road, Green Leaf Layout, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"17th A Main Road, Block 5A, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"17th D Main Road, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"17th D Main Road, Patel Narayana Reddy Layout, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"17th G Main Road, Block 6, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"17th H Main Road, Block 6, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"18th Main Road, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"1st A Cross Road, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"1st Cross Road, CPWD Complex, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"1st Cross Road, Industrial Layout, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"1st Cross Road, Lakkasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560030, India",1
Adugodi,"1st Cross Road, Stage Saptagiri, ST Bed Layout, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",1
Adugodi,"1st Cross Road, UCO Bank Junction, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"1st D Main Road, Jakkasandra, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"1st Main Road, Pukhraj Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"1st Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"20th C Main Road, KR Garden, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"2nd Cross Road, Block 5A, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"2nd Cross Road, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"2nd Cross Road, Industrial Layout, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"2nd Cross Road, Nanjappa Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"2nd Cross Road, Pukhraj Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"2nd Cross Road, Venkata Reddy Layout, Block 6, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"2nd H Main Road, Nanjappa Layout, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"2nd Main Road, Krishna Nagar Industrial Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",1
Adugodi,"3rd Cross Road, Green Leaf Layout, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"4th C Cross Road, UCO Bank Junction, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"4th Cross Road, Kottalapalya, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"5th Cross Road, BDA Shopping Complex, Block 3, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"5th Cross Road, Nandi Enclave, Adugodi Police Quarters, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"5th Road, St Johns National Academy of Health Sciences, John Nagar, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"6th A Cross Road, BDA Shopping Complex, Block 3, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"6th B Cross Road, Block 3, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"731, 6th A Cross Road, Koramangala 3rd Block, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",1
Adugodi,"7th C Cross Road, Block 4B, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"7th Cross Road, Block 1, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"7th Cross Road, Block 4C, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"80 Feet Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
Adugodi,"80 Feet Road, Koramangala 5th Block, Adugodi, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
Adugodi,"80 Feet Road, Koramangala 5th Block, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
Adugodi,"8th A Main Road, Raheja Residency, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"8th C Main Road, Block 3J, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"8th Cross Road, Godavari Block, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",1
Adugodi,"8th Main Road, Block 4C, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",1
Adugodi,"99, 16th Main Road, Maistripalaya, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",1
Adugodi,"AH 43, ML Colony, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"Adugodi Main Road, Balappa Layout, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"Adugodi Main Road, Devegowda Layout, AK Colony, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"Adugodi Main Road, Nanjappa Layout, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"Ayyappa Garden Main Road, Subbana Garden, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"Bannerghatta Main Road, Govardhan Nagar, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",1
Adugodi,"Bannerghatta Main Road, Wilson Vintage, Shamanna Garden, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"Bazaar Street, AK Colony, Adugodi, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"Campus Road, CC Layout, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",1
Adugodi,"CoreEL Technologies, 80 Feet Road, Koramangala 1st Block, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",1
Adugodi,"Domlur Inner Ring Road, Block 5A, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"Domlur Inner Ring Road, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"Dyu Art Cafe, Shop No. 1, No. 23 MIG, 1st B Main Road, Koramangala 8th Block, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560030, India",1
Adugodi,"Fj Merrit Hydrotherapy And Wellness, 101, 80 Feet Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",1
Adugodi,"Green Trends - Unisex Hair & Style Salon, 5th block, Door no 152, 1st floor, 5th Cross Road, Koramangala 5th Block, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
Adugodi,"Hosur Road, Gajendra Nagar, Nilsandra, Bengaluru, Karnataka. Pin-560030 (India)",1
Adugodi,"Hosur Road, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
Adugodi,"Hosur Road, Prestige Acropolis, Chikka Lakshmaiah Layout, Adugodi, Bengaluru, Karnataka. Pin-560095 (India)",1
Adugodi,"Infomart Tech Park, 99, 5th Cross Road, Koramangala 5th Block, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
Adugodi,"Iyengar bakers, 5th Cross Road, Koramangala 5th Block, A Adugodi, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
Adugodi,"Jyoti Nivas Women's College, 1st A Cross Road, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
Adugodi,"Lakkasandra, Someshwara Nagara, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560030, India",1
Adugodi,"NGV 3rd Cross Road, Ganga Block, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",1
Adugodi,"NGV 4th Cross Road, Yamuna Block, National Games Village, Koramangala, Bengaluru, Karnataka. Pin-560047 (India)",1
Adugodi,"Nandini, Bannerghatta Road, S.G Palya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560029, India",1
Adugodi,"Navin associates, 4/4, Doctor M H Marigowda Road, S.G Palya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560029, India",1
Adugodi,"Outer Ring Road, Silk Board Junction, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",1
Adugodi,"PNS School, Koramangala, Sri Lakshmi Devi Ward, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560095, India",1
