location,violations,latitude,longitude,police_station
"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",912,12.9432864611176,77.5710762065937,Basavanagudi
"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",897,12.971672204905241,77.65809940501673,Jeevanbheemanagar
"19th Main Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",894,13.000056661073826,77.55054651107382,Malleshwaram
"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",885,12.999358996856463,77.57135012893059,Malleshwaram
"1st Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",884,12.974536438348418,77.54502620305429,Vijayanagara
"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",883,12.97911891596829,77.57792489728199,Upparpet
"Chord Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",868,12.974454559877186,77.54688168827327,Vijayanagara
"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",863,12.9397296311519,77.69553849232516,HAL Old Airport
"15th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",844,13.005500115284361,77.56918188056872,Malleshwaram
"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",821,12.953749579345315,77.54316542848814,Byatarayanapura
"Y Ramachandra Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",813,12.976835923370235,77.57879903739237,Upparpet
"MBT Road, SM Layout, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",800,13.0056690236375,77.68590859297191,K.R. Pura
"WOC Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",800,12.99976342766455,77.54965586839562,Rajajinagar
"Subedar Chatram Road, Anand Rao Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",798,12.980140280451128,77.57486955601505,Upparpet
"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",776,12.97899594226804,77.58026186301547,Upparpet
"Subedar Chatram Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",766,12.975956667101828,77.57586655600522,Upparpet
"Veera Pillai Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",765,12.982806576470587,77.61129028888888,Shivajinagar
"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",756,12.841880077777777,77.64578886600529,Electronic City
"Y Ramachandra Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",755,12.977104290463576,77.57611710649006,Upparpet
"Cunningham Road, Coffee Board Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",754,12.981233462997348,77.59850387718834,Shivajinagar
"AS Char Main Road, Santhusapete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",735,12.968214529387755,77.57478928054422,Chamarajpet
"Padmabhushan Dr MC Modi Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",716,12.997619908098786,77.54999595716653,Vijayanagara
"2nd Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",712,12.978372618304448,77.57950653979314,Upparpet
"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",710,12.996252154626976,77.66863077915998,Banaswadi
"1st Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",709,12.977693281946404,77.58046079379407,Upparpet
"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",688,12.975738181420585,77.5588563089726,Magadi Road
"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",680,13.007898279411764,77.571139835,Malleshwaram
"Pipeline Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",678,13.008802384955752,77.55519092979351,Malleshwaram
"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",677,12.96468655435746,77.71820800930576,Whitefield
"Silver Jubilee Park Road, Dodpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",669,12.964322494038528,77.57901299198868,Halasuru Gate
"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",638,12.995632187304077,77.61378055626959,Pulikeshinagar(F.Town)
"Kalasipalyam Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",633,12.963594461324545,77.57723376008755,City Market
"Palace Road, Kumar Park, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",626,12.994278566613419,77.58937282811502,High ground
"Palace Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",619,12.992470453393231,77.5887166979015,High ground
"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",614,12.928761451140065,77.58067658729641,Jayanagara
"Y Ramachandra Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",611,12.977001882324059,77.57708993011457,Upparpet
"BGS Flyover, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",608,12.96411186035319,77.5771026235033,City Market
"Hospital Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",604,12.972783897847682,77.57888762152318,Upparpet
"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",604,13.191272457119206,77.64629708013246,Chikkajala
"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",595,12.976420282016807,77.5796894677311,Upparpet
"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",594,12.995933199593024,77.66802259540928,Mahadevapura
"Y Ramachandra Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",594,12.975902991919192,77.58119045488216,Upparpet
"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",586,13.008246521672355,77.54848177696245,Rajajinagar
"Tippu Sultan Palace Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",576,12.959112723958334,77.57695467170139,City Market
"1st Cross Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",573,12.97371977172775,77.57831311535777,Upparpet
"2nd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",565,12.973481692212388,77.57876052353981,Upparpet
"80 Feet Ring Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",561,12.998544618538324,77.55286965811052,Malleshwaram
"Outer Ring Road, Vajram Onyx, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",558,12.932279686498866,77.68815583823351,HAL Old Airport
"Commercial Street, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",549,12.982372361020037,77.60775632131147,Shivajinagar
"GP Rajarathnam Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",548,13.00815738740876,77.55510027773722,Malleshwaram
"G Narayana Kumar Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",523,12.975710480862318,77.56065648099846,Magadi Road
"G Narayana Kumar Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",521,12.973716706909789,77.55123289385796,Magadi Road
"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",519,13.097203296339114,77.5995107265896,Yelahanka
"Da Ra Bendre Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",506,13.012445558893281,77.553584606917,Malleshwaram
"Veera Pillai Street, Nethaji Subhas Chadra Bose Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",505,12.98329145980198,77.6097614920792,Shivajinagar
"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",498,12.936020647389558,77.61561093614458,Adugodi
"Major T Ramachandrappa Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",496,12.977433882862902,77.57426719838709,Upparpet
"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",494,12.93240687874494,77.6317166291498,Adugodi
"5th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",491,12.978542919144603,77.57869928676172,Upparpet
"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",484,13.01281845123967,77.55452939586777,Malleshwaram
"AS Char Main Road, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",474,12.966770639662446,77.57404245232067,Chamarajpet
"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",469,12.995307435715556,77.69644199053106,Mahadevapura
"Unnamed Road, Jagajothi Nagar, Muthugada Halli, Bengaluru, Karnataka. Pin-562157 (India)",469,13.183552558422175,77.67961973304904,Chikkajala
"Major T Ramachandrappa Road, Elite Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",462,12.975948067965367,77.57481177380951,Upparpet
"Sahakar Nagar Road, L&T Realty Elara Celestia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",457,13.072012891684903,77.58941425995623,Kodigehalli
"17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",455,12.99244497912088,77.55265507318681,Rajajinagar
"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",455,12.959255948571428,77.57768260879122,City Market
"Neeladri Road, Neeladri Nagar, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",445,12.841639102247191,77.64739960921348,Electronic City
"4th Main Road, Sri Basaveshwara HBCS, Phase 1, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",443,12.960954479683974,77.52764872167042,Byatarayanapura
"19th Main Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",442,13.00310919841629,77.55011722556561,Malleshwaram
"Vajreshwari Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",436,12.979035401773759,77.57893201183641,Upparpet
"Kariyammana Agrahara Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",434,12.935355976315016,77.69018986419634,HAL Old Airport
"Outer Ring Road, Soulspace Paradigm, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",432,12.949904745753646,77.69962585131009,HAL Old Airport
"Chord Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",430,12.999683051081792,77.54982456179569,Malleshwaram
"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",430,12.935934119822203,77.6919368035807,HAL Old Airport
"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",423,12.971493926477542,77.59773390732862,Cubbon Park
"18th Cross Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",422,13.008496890521329,77.5706934471564,Malleshwaram
"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",420,12.912420029272324,77.63374572483681,HSR Layout
"Ayyappa Temple Road, Fortune Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",418,13.070327352870814,77.58763878636364,Kodigehalli
"Da Ra Bendre Road, Renaissance Temple Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",414,13.012129129951692,77.55253207439614,Rajajinagar
"Unnamed Road, Chikkanahalli North Taluka, Bengaluru, Karnataka. Pin-562149 (India)",414,13.183918569323671,77.68603375144927,Chikkajala
"Major T Ramachandrappa Road, Subash Nagar, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",411,12.975115619221413,77.57472683819951,Upparpet
"MBT Road, Tin Factory Junction, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",409,12.996527860286315,77.66908796081415,Mahadevapura
"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",399,12.996294348621554,77.56314352005012,Sheshadripuram
"4th Main Road, KPA Block, Chandra Layout Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",398,12.96071274396985,77.52878940326633,Byatarayanapura
"Sri Venkataranga Ayangar Road, Mill Corner Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",397,12.994304980604534,77.5714603861461,Malleshwaram
"Mahatma Gandhi Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",397,12.973441074307305,77.61554197380353,Halasur
"Commercial Street, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",386,12.981726163989636,77.60971867487046,Shivajinagar
"Da Ra Bendre Road, Phoenix Kessaku, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",385,13.012051318441559,77.55271643038961,Malleshwaram
"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",384,13.047495843229166,77.57596111406251,Kodigehalli
"80 Feet Ring Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",383,12.980718855078944,77.55813687064473,Magadi Road
"Gangadhara Chetty Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",377,12.981889007957559,77.61252285941644,Shivajinagar
"Sri DV Gundappa Road, Gandhi Bazar Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",375,12.945098353526237,77.5711274944225,Basavanagudi
"5th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",375,12.977791058933333,77.5772304856,Upparpet
"St John Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",374,12.981856428074867,77.61195560106952,Shivajinagar
"17th Cross Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",373,12.912333276743576,77.63669767810514,HSR Layout
"1st Main Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",373,12.968624608042896,77.53720365978552,Vijayanagara
"Mahatma Gandhi Road, WEBBS Circle Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",373,12.973690475067023,77.61431770589813,Halasur
"Old Madras Road, Gopalan Signature Mall, Nagavara Palya, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",372,12.993328773655913,77.66190290994624,Banaswadi
"3rd Cross Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",372,12.977567339247312,77.5767733061828,Upparpet
"Sri Venkataranga Ayangar Road, Shivanandappa Layout, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",372,12.995624259677419,77.5714401610215,Malleshwaram
"Sri Venkataranga Ayangar Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",368,13.001375017663042,77.57129684347827,Malleshwaram
"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",365,12.958002479726026,77.70100738246576,HAL Old Airport
"MBT Road, Kotturu, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",365,13.00063298668169,77.67690181749134,Banaswadi
"1st Cross Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",362,12.976557534806629,77.54547789281769,Vijayanagara
"5th Main Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",357,12.979371696358543,77.57707212633053,Upparpet
"Kamaraj Road, Tyagi Henagalavarayan Junction, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",349,12.979645721203438,77.60966184928367,Shivajinagar
"Outer Ring Road, Citilights Liberty Apartment, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",347,12.927507115132245,77.67981683245681,Bellandur
"Midford Garden Lane, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",346,12.971461513005782,77.61817004450867,Halasur
"P&T Road, BSNL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",346,12.993042768208092,77.55393062080925,Rajajinagar
"MPV Road, Chandni Chowk, Bengaluru, Karnataka. Pin-560051 (India)",345,12.984692351304348,77.60514431449275,Shivajinagar
"Siddavanahalli Krishna Sharma Road, Parisara Organic Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",345,12.99875823768116,77.56943165536232,Malleshwaram
"Domlur Inner Ring Road, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",341,12.96932750331079,77.64138571762389,Jeevanbheemanagar
"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",333,12.96475536195686,77.57444074497795,City Market
"2nd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",333,12.97737787027027,77.57944195555555,Upparpet
"5th Main Road, Dhondusa Layout, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",331,12.941878002416919,77.56718420090634,Basavanagudi
"MBT Road, YSM Layout, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",330,13.010122276575757,77.69737818321212,K.R. Pura
"Outer Ring Road, Saffron Square, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",330,12.93007687103064,77.68510569541408,HAL Old Airport
"Old Airport Road, Manipal Hospital Junction, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",328,12.959653500091825,77.6489855620143,Jeevanbheemanagar
"ITPL Main Road, Vijetha Lapis Lazati, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",323,12.965737548297213,77.71828532012384,HAL Old Airport
"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",323,12.962050794117646,77.59897505325078,Ashok Nagar
"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",321,12.980727858615337,77.60309390645136,Shivajinagar
"BB Naidu Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",319,12.975680247648903,77.57835475297806,Upparpet
"Avenue Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",316,12.964505813375578,77.57703898969355,City Market
"AS Char Main Road, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",315,12.970514975854146,77.57602018077506,City Market
"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",315,12.951544457140365,77.71745019378622,Whitefield
"Outer Ring Road, Vajram Esteva, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",314,12.930361207319583,77.68564678623433,HAL Old Airport
"BB Naidu Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",313,12.97604208338658,77.5775500201278,Upparpet
"Kempegowda Road, Mysore Bank Circle, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",313,12.973449915015975,77.58036374153355,Upparpet
"80 Feet Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",312,13.027844299038462,77.57430735064102,Sadashivanagar
"1st Main Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",308,12.975007691558442,77.57867439772728,Upparpet
